Year,Quarter,Period of coverage,Breakdown,Level,Employment rate of people with mental illness,Employment rate of population ,Indicator value,Mental illness numerator,Mental illness denominator,Population numerator,Population denominator
2014,1,1/1/2014 to 31/3/2014,England,England,36.1%,72.7%,36.6%,"917,400","2,540,900","24,639,400","33,906,400"
2013,4,1/10/2013 to 31/12/2013,England,England,35.6%,72.6%,37.0%,"893,200","2,508,700","24,579,600","33,869,300"
2013,3,1/7/2013 to 30/9/2013,England,England,35.1%,72.2%,37.1%,"883,200","2,513,000","24,434,300","33,831,900"
2013,2,1/4/2013 to 30/6/2013,England,England,33.3%,71.5%,38.2%,"786,200","2,363,200","24,173,200","33,801,400"
2013,1,1/1/2013 to 31/3/2013,England,England,32.4%,71.3%,39.0%,"721,900","2,230,000","24,100,000","33,784,200"
2012,4,1/10/2012 to 31/12/2012,England,England,33.3%,72.1%,38.8%,"744,300","2,237,000","24,344,000","33,767,100"
2012,3,1/7/2012 to 30/9/2012,England,England,32.6%,71.9%,39.2%,"728,600","2,232,600","24,257,700","33,750,100"
2012,2,1/4/2012 to 30/6/2012,England,England,31.2%,71.1%,39.9%,"675,100","2,164,400","23,976,600","33,736,700"
2012,1,1/1/2012 to 31/3/2012,England,England,29.7%,70.6%,40.9%,"655,300","2,205,500","23,800,200","33,729,200"
2011,4,1/10/2011 to 31/12/2011,England,England,30.2%,70.7%,40.5%,"658,200","2,178,900","23,843,400","33,721,900"
2011,3,1/7/2011 to 30/9/2011,England,England,29.0%,70.7%,41.7%,"619,400","2,138,500","23,826,400","33,713,700"
2011,2,1/4/2011 to 30/6/2011,England,England,27.4%,70.5%,43.1%,"572,800","2,088,800","23,759,200","33,705,600"
2011,1,1/1/2011 to 31/3/2011,England,England,28.1%,70.6%,42.6%,"559,700","1,993,800","23,779,500","33,665,800"
2010,4,1/10/2010 to 31/12/2010,England,England,28.7%,71.0%,42.3%,"555,800","1,939,700","23,860,800","33,626,700"
2010,3,1/7/2010 to 30/9/2010,England,England,29.6%,71.4%,41.8%,"577,500","1,949,400","23,985,800","33,586,400"
2010,2,1/4/2010 to 30/6/2010,England,England,29.7%,70.6%,40.9%,"590,800","1,987,100","23,690,600","33,543,700"
2010,1,1/1/2010 to 31/3/2010,England,England,30.2%,70.4%,40.2%,"573,800","1,903,100","23,570,000","33,492,900"
2009,4,1/10/2009 to 31/12/2009,England,England,28.1%,71.1%,43.0%,"500,000","1,778,000","23,766,000","33,441,900"
2009,3,1/7/2009 to 30/9/2009,England,England,27.5%,71.2%,43.7%,"484,500","1,761,900","23,767,200","33,390,700"
2009,2,1/4/2009 to 30/6/2009,England,England,27.8%,70.9%,43.0%,"479,300","1,722,000","23,632,400","33,344,200"
2009,1,1/1/2009 to 31/3/2009,England,England,28.6%,71.7%,43.1%,"483,200","1,687,300","23,874,700","33,304,300"
2008,4,1/10/2008 to 31/12/2008,England,England,27.5%,72.6%,45.1%,"449,300","1,631,300","24,161,300","33,265,300"
2008,3,1/7/2008 to 30/9/2008,England,England,28.3%,72.9%,44.6%,"476,700","1,685,600","24,226,600","33,225,500"
2008,2,1/4/2008 to 30/6/2008,England,England,27.9%,72.8%,44.9%,"465,300","1,670,700","24,151,500","33,181,000"
2008,1,1/1/2008 to 31/3/2008,England,England,28.1%,73.0%,44.9%,"475,900","1,695,500","24,164,700","33,127,300"
2007,4,1/10/2007 to 31/12/2007,England,England,27.4%,73.3%,45.9%,"459,200","1,674,700","24,247,300","33,073,400"
2007,3,1/7/2007 to 30/9/2007,England,England,27.5%,73.1%,45.6%,"453,900","1,649,400","24,133,800","33,019,500"
2007,2,1/4/2007 to 30/6/2007,England,England,26.7%,72.4%,45.8%,"434,500","1,628,900","23,875,800","32,960,300"
2007,1,1/1/2007 to 31/3/2007,England,England,26.6%,72.3%,45.7%,"423,600","1,591,900","23,788,200","32,890,700"
2006,4,1/10/2006 to 31/12/2006,England,England,26.9%,73.0%,46.1%,"412,800","1,533,300","23,968,000","32,820,100"
2006,3,1/7/2006 to 30/9/2006,England,England,28.5%,73.3%,44.8%,"426,400","1,498,400","23,997,600","32,749,900"
2014,1,1/1/2014 to 31/3/2014,Gender,Female,37.1%,67.6%,30.5%,"535,800","1,443,900","11,457,200","16,952,400"
2014,1,1/1/2014 to 31/3/2014,Gender,Male,34.8%,77.8%,43.0%,"381,600","1,097,000","13,182,100","16,954,000"
2013,4,1/10/2013 to 31/12/2013,Gender,Female,37.0%,67.3%,30.3%,"526,300","1,422,900","11,397,100","16,942,000"
2013,4,1/10/2013 to 31/12/2013,Gender,Male,33.8%,77.9%,44.1%,"366,900","1,085,800","13,182,400","16,927,300"
2013,3,1/7/2013 to 30/9/2013,Gender,Female,35.6%,66.8%,31.3%,"502,900","1,414,200","11,313,800","16,931,600"
2013,3,1/7/2013 to 30/9/2013,Gender,Male,34.6%,77.6%,43.0%,"380,300","1,098,800","13,120,600","16,900,300"
2013,2,1/4/2013 to 30/6/2013,Gender,Female,34.7%,66.6%,31.9%,"462,300","1,333,500","11,271,600","16,922,400"
2013,2,1/4/2013 to 30/6/2013,Gender,Male,31.5%,76.4%,45.0%,"323,900","1,029,600","12,901,600","16,879,000"
2013,1,1/1/2013 to 31/3/2013,Gender,Female,34.8%,66.5%,31.7%,"430,800","1,237,000","11,252,700","16,915,800"
2013,1,1/1/2013 to 31/3/2013,Gender,Male,29.3%,76.2%,46.9%,"291,100","993,000","12,847,200","16,868,400"
2012,4,1/10/2012 to 31/12/2012,Gender,Female,34.3%,66.9%,32.7%,"424,400","1,239,000","11,317,000","16,908,900"
2012,4,1/10/2012 to 31/12/2012,Gender,Male,32.1%,77.3%,45.2%,"319,900","998,000","13,027,000","16,858,100"
2012,3,1/7/2012 to 30/9/2012,Gender,Female,32.5%,66.5%,33.9%,"402,300","1,237,400","11,231,800","16,902,500"
2012,3,1/7/2012 to 30/9/2012,Gender,Male,32.8%,77.3%,44.5%,"326,200","995,200","13,026,000","16,847,600"
2012,2,1/4/2012 to 30/6/2012,Gender,Female,31.1%,65.7%,34.7%,"372,900","1,200,600","11,103,100","16,897,400"
2012,2,1/4/2012 to 30/6/2012,Gender,Male,31.4%,76.5%,45.1%,"302,200","963,900","12,873,600","16,839,300"
2012,1,1/1/2012 to 31/3/2012,Gender,Female,31.2%,65.5%,34.3%,"382,300","1,224,400","11,065,700","16,895,500"
2012,1,1/1/2012 to 31/3/2012,Gender,Male,27.8%,75.7%,47.8%,"272,900","981,100","12,734,500","16,833,700"
2011,4,1/10/2011 to 31/12/2011,Gender,Female,32.4%,65.6%,33.2%,"386,200","1,193,200","11,075,900","16,893,600"
2011,4,1/10/2011 to 31/12/2011,Gender,Male,27.6%,75.9%,48.3%,"271,900","985,700","12,767,500","16,828,400"
2011,3,1/7/2011 to 30/9/2011,Gender,Female,31.7%,65.4%,33.7%,"372,500","1,173,800","11,044,400","16,891,900"
2011,3,1/7/2011 to 30/9/2011,Gender,Male,25.6%,76.0%,50.4%,"247,000","964,700","12,781,900","16,821,800"
2011,2,1/4/2011 to 30/6/2011,Gender,Female,29.3%,65.1%,35.8%,"332,400","1,134,900","10,996,200","16,887,900"
2011,2,1/4/2011 to 30/6/2011,Gender,Male,25.2%,75.9%,50.7%,"240,500","953,900","12,763,000","16,817,700"
2011,1,1/1/2011 to 31/3/2011,Gender,Female,30.3%,65.4%,35.0%,"325,900","1,074,100","11,028,700","16,869,800"
2011,1,1/1/2011 to 31/3/2011,Gender,Male,25.4%,75.9%,50.5%,"233,800","919,700","12,750,800","16,796,100"
2010,4,1/10/2010 to 31/12/2010,Gender,Female,30.1%,65.4%,35.3%,"316,300","1,050,100","11,022,500","16,851,700"
2010,4,1/10/2010 to 31/12/2010,Gender,Male,26.9%,76.5%,49.6%,"239,500","889,600","12,838,200","16,775,000"
2010,3,1/7/2010 to 30/9/2010,Gender,Female,30.3%,65.9%,35.6%,"323,200","1,068,400","11,089,300","16,833,200"
2010,3,1/7/2010 to 30/9/2010,Gender,Male,28.9%,77.0%,48.1%,"254,300","881,000","12,896,500","16,753,200"
2010,2,1/4/2010 to 30/6/2010,Gender,Female,30.9%,65.5%,34.6%,"338,400","1,094,900","11,004,400","16,813,500"
2010,2,1/4/2010 to 30/6/2010,Gender,Male,28.3%,75.8%,47.5%,"252,500","892,100","12,686,200","16,730,200"
2010,1,1/1/2010 to 31/3/2010,Gender,Female,30.9%,65.6%,34.7%,"321,700","1,039,900","11,015,400","16,789,100"
2010,1,1/1/2010 to 31/3/2010,Gender,Male,29.2%,75.2%,46.0%,"252,200","863,200","12,554,600","16,703,700"
2009,4,1/10/2009 to 31/12/2009,Gender,Female,28.8%,66.2%,37.4%,"275,500","955,700","11,094,500","16,765,100"
2009,4,1/10/2009 to 31/12/2009,Gender,Male,27.3%,76.0%,48.7%,"224,500","822,300","12,671,500","16,676,800"
2009,3,1/7/2009 to 30/9/2009,Gender,Female,28.2%,66.2%,38.0%,"268,400","950,400","11,082,500","16,740,800"
