Year,Period of coverage,Breakdown,Level,Level description,Condition,General population mortality rate,Mental health DSR,Mental health lower CI,Mental health upper CI,Indicator value,SMR lower CI,SMR upper CI,MH deaths (numerator MH mortality rate and SMR),Expected (denominator SMR),MH population (denominator MH mortality rate),General population deaths,General population
2014/15,Deaths: 1/4/2014 to 31/3/2015; In contact with secondary mental health services: 1/4/2012 to 31/3/2015,England,England,,All,388.2,"1,428.80","1,411.10","1,446.70",370,365.5,374.5,"25,683","6,941.90","2,057,327","148,867","38,350,100"
2013/14,Deaths: 1/4/2013 to 31/3/2014; In contact with secondary mental health services: 1/4/2011 to 31/3/2014,England,England,,All,383,"1,338.70","1,321.40","1,356.10",351.8,347.3,356.3,"23,552","6,695.30","2,007,343","145,851","38,077,800"
2012/13,Deaths: 1/4/2012 to 31/3/2013; In contact with secondary mental health services: 1/4/2010 to 31/3/2013,England,England,,All,383,"1,318.90","1,301.10","1,336.90",347.2,342.6,351.8,"21,685","6,246.20","1,874,847","144,990","37,858,400"
2011/12,Deaths: 1/4/2011 to 31/3/2012; In contact with secondary mental health services: 1/4/2009 to 31/3/2012,England,England,,All,382.3,"1,274.80","1,257.00","1,292.80",337.4,332.8,342.1,"20,101","5,957.50","1,798,725","143,847","37,628,900"
2010/11,Deaths: 1/4/2010 to 31/3/2011; In contact with secondary mental health services: 1/4/2008 to 31/3/2011,England,England,,All,399.4,"1,319.90","1,300.90","1,339.10",335.3,330.5,340.1,"18,969","5,657.50","1,655,667","148,952","37,289,900"
2009/10,Deaths: 1/4/2009 to 31/3/2010; In contact with secondary mental health services: 1/4/2007 to 31/3/2010,England,England,,All,401.6,"1,292.40","1,273.40","1,311.60",326.7,322,331.5,"18,233","5,580.50","1,631,002","148,393","36,952,300"
2008/09,Deaths: 1/4/2008 to 31/3/2009; In contact with secondary mental health services: 1/4/2006 to 31/3/2009,England,England,,All,417,"1,362.40","1,342.50","1,382.60",332.1,327.3,336.9,"18,389","5,537.90","1,554,940","152,766","36,637,300"
2014/15,Deaths: 1/4/2014 to 31/3/2015; In contact with secondary mental health services: 1/4/2012 to 31/3/2015,Gender,Female,,All,313.5,"1,155.80","1,133.70","1,178.10",368.3,361.4,375.3,"10,804","2,933.40","1,082,265","60,613","19,332,900"
2014/15,Deaths: 1/4/2014 to 31/3/2015; In contact with secondary mental health services: 1/4/2012 to 31/3/2015,Gender,Male,,All,464.1,"1,706.40","1,678.70","1,734.40",371.2,365.2,377.2,"14,879","4,008.50","975,062","88,254","19,017,200"
2013/14,Deaths: 1/4/2013 to 31/3/2014; In contact with secondary mental health services: 1/4/2011 to 31/3/2014,Gender,Female,,All,307.5,"1,056.90","1,035.70","1,078.50",343.7,336.9,350.6,"9,715","2,826.40","1,061,349","59,057","19,205,900"
